,date,state,fips,cases,deaths,month
4939,2020-05-31,New Hampshire,33,4651,245,5
4956,2020-05-31,Utah,49,9829,113,5
4958,2020-05-31,Virgin Islands,78,70,6,5
5197,2020-05-06,Idaho,16,3111,83,5
4959,2020-05-31,Virginia,51,44607,1375,5
5196,2020-05-06,Hawaii,15,653,17,5
5195,2020-05-06,Guam,66,1148,6,5
5194,2020-05-06,Georgia,13,48280,2143,5
5193,2020-05-06,Florida,12,61480,2659,5
5192,2020-05-06,District of Columbia,11,9199,479,5
5191,2020-05-06,Delaware,10,9773,388,5
5190,2020-05-06,Connecticut,9,43460,4038,5
5189,2020-05-06,Colorado,8,27601,1524,5
5188,2020-05-06,California,6,126510,4550,5
5187,2020-05-06,Arkansas,5,8651,152,5
5186,2020-05-06,Arizona,4,24369,1016,5
5185,2020-05-06,Alaska,2,565,8,5
5184,2020-05-06,Alabama,1,19387,676,5
4963,2020-05-31,Wyoming,56,903,16,5
4962,2020-05-31,Wisconsin,55,18418,594,5
4961,2020-05-31,West Virginia,54,2010,75,5
4960,2020-05-31,Washington,53,22814,1126,5
6853,2020-05-07,Louisiana,22,65334,3288,5
6856,2020-05-07,Massachusetts,25,109974,8183,5
4737,2020-05-27,Vermont,50,971,54,5
4789,2020-05-28,Tennessee,47,21763,352,5
4797,2020-05-28,Wisconsin,55,17211,550,5
4796,2020-05-28,West Virginia,54,1935,74,5
4795,2020-05-28,Washington,53,22091,1116,5
4794,2020-05-28,Virginia,51,41401,1338,5
4793,2020-05-28,Virgin Islands,78,69,6,5
4792,2020-05-28,Vermont,50,974,55,5
4791,2020-05-28,Utah,49,8953,106,5
4790,2020-05-28,Texas,48,60820,1618,5
4788,2020-05-28,South Dakota,46,4793,54,5
4820,2020-05-29,Maryland,24,51631,2466,5
4787,2020-05-28,South Carolina,45,10788,470,5
4786,2020-05-28,Rhode Island,44,14494,677,5
4785,2020-05-28,Puerto Rico,72,3486,131,5
4784,2020-05-28,Pennsylvania,42,74312,5397,5
4783,2020-05-28,Oregon,41,4087,151,5
4782,2020-05-28,Oklahoma,40,6270,326,5
4781,2020-05-28,Ohio,39,33915,2098,5
4780,2020-05-28,Northern Mariana Islands,69,22,2,5
4798,2020-05-28,Wyoming,56,876,15,5
4799,2020-05-29,Alabama,1,17031,610,5
4800,2020-05-29,Alaska,2,436,8,5
4801,2020-05-29,Arizona,4,18465,885,5
4818,2020-05-29,Louisiana,22,38907,2766,5
4817,2020-05-29,Kentucky,21,9688,434,5
4816,2020-05-29,Kansas,20,9826,209,5
4815,2020-05-29,Iowa,19,19019,525,5
4814,2020-05-29,Indiana,18,34399,2110,5
4813,2020-05-29,Illinois,17,117794,5308,5
4812,2020-05-29,Idaho,16,2804,82,5
4811,2020-05-29,Hawaii,15,639,17,5
4810,2020-05-29,Guam,66,1141,6,5
4809,2020-05-29,Georgia,13,43888,1953,5
4808,2020-05-29,Florida,12,54489,2412,5
4807,2020-05-29,District of Columbia,11,8538,460,5
4806,2020-05-29,Delaware,10,9236,356,5
4805,2020-05-29,Connecticut,9,41762,3868,5
4804,2020-05-29,Colorado,8,25602,1437,5
4803,2020-05-29,California,6,107043,4144,5
4802,2020-05-29,Arkansas,5,6777,132,5
4779,2020-05-28,North Dakota,38,2484,60,5
4778,2020-05-28,North Carolina,37,25616,859,5
4777,2020-05-28,New York,36,371559,29438,5
4756,2020-05-28,Hawaii,15,637,17,5
4754,2020-05-28,Georgia,13,43363,1942,5
4753,2020-05-28,Florida,12,53277,2363,5
4752,2020-05-28,District of Columbia,11,8492,453,5
