,date,state,fips,cases,deaths,month
327,2020-06-03,Hawaii,15,1,0,6
328,2020-06-03,Illinois,17,6,0,6
329,2020-06-03,Indiana,18,1,0,6
330,2020-06-03,Kentucky,21,1,0,6
331,2020-06-03,Maryland,24,3,0,6
332,2020-06-03,Massachusetts,25,8,0,6
333,2020-06-03,Minnesota,27,1,0,6
334,2020-06-03,Nebraska,31,14,0,6
335,2020-06-03,Nevada,32,2,0,6
336,2020-06-03,New Hampshire,33,2,0,6
337,2020-06-03,New Jersey,34,4,0,6
5625,2020-06-13,Alaska,2,722,10,6
5627,2020-06-13,Arkansas,5,12095,177,6
339,2020-06-03,North Carolina,37,2,0,6
5628,2020-06-13,California,6,150434,5059,6
5645,2020-06-13,Maryland,24,61935,2926,6
5644,2020-06-13,Maine,23,2757,100,6
5643,2020-06-13,Louisiana,22,46396,3004,6
5642,2020-06-13,Kentucky,21,12605,527,6
5641,2020-06-13,Kansas,20,11195,244,6
5640,2020-06-13,Iowa,19,23792,651,6
5639,2020-06-13,Indiana,18,40535,2413,6
5638,2020-06-13,Illinois,17,133117,6491,6
5637,2020-06-13,Idaho,16,3399,87,6
3543,2020-06-05,Florida,12,37994,1538,6
5635,2020-06-13,Guam,66,1154,6,6
5634,2020-06-13,Georgia,13,54178,2411,6
5633,2020-06-13,Florida,12,73544,2924,6
5632,2020-06-13,District of Columbia,11,9709,511,6
5631,2020-06-13,Delaware,10,10229,419,6
5630,2020-06-13,Connecticut,9,44994,4186,6
5629,2020-06-13,Colorado,8,29002,1598,6
338,2020-06-03,New York,36,44,0,6
340,2020-06-03,Oklahoma,40,1,0,6
3582,2020-06-05,Vermont,50,908,52,6
5282,2020-06-06,South Carolina,45,13916,545,6
5280,2020-06-06,Puerto Rico,72,4915,142,6
5279,2020-06-06,Pennsylvania,42,79507,5986,6
5278,2020-06-06,Oregon,41,4672,163,6
5277,2020-06-06,Oklahoma,40,7060,347,6
5276,2020-06-06,Ohio,39,38111,2370,6
58,2020-06-02,Arizona,4,1,0,6
59,2020-06-02,California,6,6,0,6
60,2020-06-02,Illinois,17,2,0,6
61,2020-06-02,Massachusetts,25,1,0,6
62,2020-06-02,Washington,53,1,0,6
63,2020-06-02,Wisconsin,55,1,0,6
3588,2020-06-05,Wyoming,56,631,7,6
3587,2020-06-05,Wisconsin,55,8901,362,6
3586,2020-06-05,West Virginia,54,1277,51,6
3585,2020-06-05,Washington,53,16873,881,6
3584,2020-06-05,Virginia,51,20256,713,6
3583,2020-06-05,Virgin Islands,78,66,4,6
5281,2020-06-06,Rhode Island,44,15441,772,6
5283,2020-06-06,South Dakota,46,5367,65,6
341,2020-06-03,Oregon,41,2,0,6
5284,2020-06-06,Tennessee,47,26359,413,6
342,2020-06-03,Pennsylvania,42,2,0,6
343,2020-06-03,Rhode Island,44,3,0,6
344,2020-06-03,South Carolina,45,2,0,6
345,2020-06-03,Tennessee,47,1,0,6
346,2020-06-03,Texas,48,19,0,6
347,2020-06-03,Utah,49,3,0,6
348,2020-06-03,Washington,53,86,12,6
349,2020-06-03,Wisconsin,55,1,0,6
5293,2020-06-06,Wyoming,56,939,17,6
5292,2020-06-06,Wisconsin,55,20701,646,6
5291,2020-06-06,West Virginia,54,2136,84,6
5290,2020-06-06,Washington,53,24767,1163,6
5289,2020-06-06,Virginia,51,49397,1460,6
5288,2020-06-06,Virgin Islands,78,71,6,6
5287,2020-06-06,Vermont,50,1046,55,6
5286,2020-06-06,Utah,49,11866,121,6
5285,2020-06-06,Texas,48,75077,1840,6
5815,2020-06-16,Missouri,29,16930,903,6
5674,2020-06-13,Virginia,51,53869,1541,6
5817,2020-06-16,Nebraska,31,17031,236,6
6386,2020-06-26,Utah,49,20218,166,6
6360,2020-06-26,Maryland,24,66704,3142,6
6361,2020-06-26,Massachusetts,25,108070,8012,6
6362,2020-06-26,Michigan,26,69473,6138,6
6363,2020-06-26,Minnesota,27,34651,1446,6
6364,2020-06-26,Mississippi,28,25066,1022,6
6365,2020-06-26,Missouri,29,20567,1019,6
6366,2020-06-26,Montana,30,829,22,6
6367,2020-06-26,Nebraska,31,18524,270,6
6368,2020-06-26,Nevada,32,15359,498,6
6369,2020-06-26,New Hampshire,33,5671,365,6
6370,2020-06-26,New Jersey,34,172438,14914,6
6371,2020-06-26,New Mexico,35,11408,489,6
6372,2020-06-26,New York,36,395972,31075,6
6373,2020-06-26,North Carolina,37,59253,1319,6
6374,2020-06-26,North Dakota,38,3430,87,6
6375,2020-06-26,Northern Mariana Islands,69,30,2,6
6376,2020-06-26,Ohio,39,48638,2788,6
6377,2020-06-26,Oklahoma,40,12343,377,6
6378,2020-06-26,Oregon,41,8008,204,6
6379,2020-06-26,Pennsylvania,42,88950,6625,6
6380,2020-06-26,Puerto Rico,72,6922,151,6
6381,2020-06-26,Rhode Island,44,16661,927,6
6382,2020-06-26,South Carolina,45,30335,694,6
6383,2020-06-26,South Dakota,46,6535,88,6
6384,2020-06-26,Tennessee,47,38802,569,6
6359,2020-06-26,Maine,23,3102,103,6
6358,2020-06-26,Louisiana,22,54882,3190,6
1884,2020-06-04,Alabama,1,2005,53,6
1898,2020-06-04,Illinois,17,12262,309,6
1909,2020-06-04,Mississippi,28,1738,51,6
1908,2020-06-04,Minnesota,27,986,30,6
1907,2020-06-04,Michigan,26,17129,727,6
1906,2020-06-04,Massachusetts,25,13837,260,6
1905,2020-06-04,Maryland,24,4045,92,6
1904,2020-06-04,Maine,23,499,10,6
1903,2020-06-04,Louisiana,22,14867,512,6
1902,2020-06-04,Kentucky,21,1057,52,6
1901,2020-06-04,Kansas,20,854,25,6
1900,2020-06-04,Iowa,19,946,25,6
1899,2020-06-04,Indiana,18,4986,171,6
1897,2020-06-04,Idaho,16,1170,13,6
1885,2020-06-04,Alaska,2,189,4,6
1896,2020-06-04,Hawaii,15,385,5,6
1895,2020-06-04,Guam,66,266,4,6
1894,2020-06-04,Georgia,13,7558,294,6
1893,2020-06-04,Florida,12,13621,253,6
1892,2020-06-04,District of Columbia,11,1097,24,6
1891,2020-06-04,Delaware,10,783,15,6
1890,2020-06-04,Connecticut,9,6906,206,6
1889,2020-06-04,Colorado,8,5172,150,6
1888,2020-06-04,California,6,16361,386,6
1887,2020-06-04,Arkansas,5,927,16,6
1886,2020-06-04,Arizona,4,2466,67,6
6385,2020-06-26,Texas,48,142582,2362,6
6387,2020-06-26,Vermont,50,1198,56,6
1911,2020-06-04,Montana,30,319,6,6
6388,2020-06-26,Virgin Islands,78,81,6,6
6417,2020-06-27,Michigan,26,69802,6157,6
6418,2020-06-27,Minnesota,27,35068,1452,6
6419,2020-06-27,Mississippi,28,25531,1035,6
6420,2020-06-27,Missouri,29,20909,1021,6
6421,2020-06-27,Montana,30,852,22,6
6422,2020-06-27,Nebraska,31,18775,271,6
6423,2020-06-27,Nevada,32,16400,500,6
6424,2020-06-27,New Hampshire,33,5717,367,6
6425,2020-06-27,New Jersey,34,172727,14948,6
6426,2020-06-27,New Mexico,35,11619,491,6
6427,2020-06-27,New York,36,396669,31105,6
6428,2020-06-27,North Carolina,37,60710,1334,6
6429,2020-06-27,North Dakota,38,3467,87,6
6430,2020-06-27,Northern Mariana Islands,69,30,2,6
6431,2020-06-27,Ohio,39,49455,2804,6
6432,2020-06-27,Oklahoma,40,12642,384,6
6433,2020-06-27,Oregon,41,8110,204,6
6434,2020-06-27,Pennsylvania,42,89400,6652,6
6435,2020-06-27,Puerto Rico,72,7066,152,6
6436,2020-06-27,Rhode Island,44,16661,927,6
6437,2020-06-27,South Carolina,45,31939,711,6
6438,2020-06-27,South Dakota,46,6626,91,6
6439,2020-06-27,Tennessee,47,39813,577,6
6440,2020-06-27,Texas,48,148639,2398,6
6441,2020-06-27,Utah,49,20735,167,6
6416,2020-06-27,Massachusetts,25,108443,8040,6
6415,2020-06-27,Maryland,24,67032,3157,6
6414,2020-06-27,Maine,23,3154,104,6
6400,2020-06-27,Connecticut,9,46206,4311,6
6389,2020-06-26,Virginia,51,60570,1700,6
6390,2020-06-26,Washington,53,32489,1305,6
6391,2020-06-26,West Virginia,54,2729,92,6
6392,2020-06-26,Wisconsin,55,29718,775,6
6393,2020-06-26,Wyoming,56,1368,20,6
6394,2020-06-27,Alabama,1,35083,919,6
6395,2020-06-27,Alaska,2,1027,12,6
6396,2020-06-27,Arizona,4,70152,1581,6
6397,2020-06-27,Arkansas,5,19310,259,6
6398,2020-06-27,California,6,211453,5902,6
6399,2020-06-27,Colorado,8,32006,1674,6
6401,2020-06-27,Delaware,10,11091,507,6
6413,2020-06-27,Louisiana,22,54882,3190,6
